Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Temp Comp Media;
82598;01/01/1961;0000;;30.4;;11.7;27.3;
82598;01/01/1961;1200;;;24.5;;;
82598;02/01/1961;0000;;30.3;;7;26.74;
82598;02/01/1961;1200;0;;24.4;;;
82598;03/01/1961;0000;;30.4;;11.2;27.62;
82598;03/01/1961;1200;0;;25.9;;;
82598;04/01/1961;0000;;30.6;;11;27.84;
82598;04/01/1961;1200;0;;26.3;;;
82598;05/01/1961;0000;;30.2;;10.1;27.72;
82598;05/01/1961;1200;0;;26.2;;;
82598;06/01/1961;0000;;30.1;;11;27.76;
82598;06/01/1961;1200;0;;26.2;;;
82598;07/01/1961;0000;;30.4;;9.7;27.84;
82598;07/01/1961;1200;0;;26.4;;;
82598;08/01/1961;0000;;30.5;;10.2;27.84;
82598;08/01/1961;1200;0;;26.4;;;
82598;09/01/1961;0000;;30.4;;9.5;27.74;
82598;09/01/1961;1200;0;;26.2;;;
82598;10/01/1961;0000;;30.2;;8.4;27.72;
82598;10/01/1961;1200;0;;26.2;;;
82598;11/01/1961;0000;;30.5;;8.7;27.8;
82598;11/01/1961;1200;0;;26.2;;;
82598;12/01/1961;0000;;30.3;;8.4;27.66;
82598;12/01/1961;1200;0;;26.2;;;
82598;13/01/1961;0000;;30.4;;9.3;27.56;
82598;13/01/1961;1200;0;;25.8;;;
82598;14/01/1961;0000;;29.5;;6.4;26.22;
82598;14/01/1961;1200;16.2;;23.4;;;
82598;15/01/1961;0000;;29.6;;7.3;26.28;
82598;15/01/1961;1200;1.2;;23.5;;;
82598;16/01/1961;0000;;30.3;;8.4;27.3;
82598;16/01/1961;1200;0;;24.4;;;
82598;17/01/1961;0000;;30.2;;7.9;27.04;
82598;17/01/1961;1200;0;;23.4;;;
82598;18/01/1961;0000;;29;;2;26.44;
82598;18/01/1961;1200;62;;23.8;;;
82598;19/01/1961;0000;;29.5;;6;26.76;
82598;19/01/1961;1200;31.4;;23.3;;;
82598;20/01/1961;0000;;29.7;;2.2;26.26;
82598;20/01/1961;1200;0;;22.5;;;
82598;21/01/1961;0000;;29.3;;1.5;26.36;
82598;21/01/1961;1200;1;;24.1;;;
82598;22/01/1961;0000;;29.6;;3;26.2;
82598;22/01/1961;1200;13.4;;23.4;;;
82598;23/01/1961;0000;;26.6;;0;23.68;
82598;23/01/1961;1200;7;;22.1;;;
82598;24/01/1961;0000;;28.9;;6.3;26.3;
82598;24/01/1961;1200;34.8;;22.2;;;
82598;25/01/1961;0000;;29.7;;10.7;27.02;
82598;25/01/1961;1200;7.4;;24;;;
82598;26/01/1961;0000;;29.5;;11.4;27.04;
82598;26/01/1961;1200;0;;23.4;;;
82598;27/01/1961;0000;;30.7;;10;27.9;
82598;27/01/1961;1200;0;;26.3;;;
82598;28/01/1961;0000;;30;;8.8;27.68;
82598;28/01/1961;1200;0;;26.2;;;
82598;29/01/1961;0000;;29.9;;11.1;27.1;
82598;29/01/1961;1200;0;;23.4;;;
82598;30/01/1961;0000;;29.8;;8.6;27.06;
82598;30/01/1961;1200;0;;23.5;;;
82598;31/01/1961;0000;;30;;7.1;26.92;
82598;31/01/1961;1200;0;;23.6;;;
82598;01/02/1961;0000;;;;10.1;;
82598;01/02/1961;1200;3.6;;23.6;;;
82598;02/02/1961;0000;;;;10;;
82598;02/02/1961;1200;0;;23.5;;;
82598;03/02/1961;0000;;;;5.5;;
82598;03/02/1961;1200;0;;23.5;;;
82598;04/02/1961;0000;;;;10.2;;
82598;04/02/1961;1200;0;;23;;;
82598;05/02/1961;0000;;;;9.4;;
82598;05/02/1961;1200;0;;23;;;
82598;06/02/1961;0000;;;;1.6;;
82598;06/02/1961;1200;7.4;;23.8;;;
82598;07/02/1961;0000;;;;4.1;;
82598;07/02/1961;1200;24;;22.8;;;
82598;06/03/1961;1200;;;22.9;;;
82598;07/03/1961;0000;;;;8.1;;
82598;07/03/1961;1200;0;;22.5;;;
82598;08/03/1961;0000;;;;9.1;;
82598;08/03/1961;1200;0;;26.4;;;
82598;09/03/1961;0000;;;;5.1;;
82598;09/03/1961;1200;0;;24.6;;;
82598;10/03/1961;0000;;;;9.5;;
82598;10/03/1961;1200;0;;26.5;;;
82598;11/03/1961;0000;;;;1.5;;
82598;11/03/1961;1200;6.2;;24.9;;;
82598;12/03/1961;0000;;;;8.9;;
82598;12/03/1961;1200;13.4;;23.1;;;
82598;13/03/1961;0000;;;;5.5;;
82598;13/03/1961;1200;37.6;;23.8;;;
82598;14/03/1961;0000;;;;0.2;;
82598;14/03/1961;1200;12.8;;23.7;;;
82598;15/03/1961;0000;;;;10.4;;
82598;15/03/1961;1200;0;;23.2;;;
82598;16/03/1961;0000;;;;10.2;;
82598;16/03/1961;1200;0;;23.8;;;
82598;17/03/1961;0000;;;;8;;
82598;17/03/1961;1200;0;;23.5;;;
82598;18/03/1961;0000;;;;6.2;;
82598;18/03/1961;1200;1.4;;24.4;;;
82598;19/03/1961;0000;;;;10.4;;
82598;19/03/1961;1200;3.6;;24.4;;;
82598;20/03/1961;0000;;;;11.1;;
82598;20/03/1961;1200;0;;23.6;;;
82598;21/03/1961;0000;;;;8.4;;
82598;21/03/1961;1200;0;;23.1;;;
82598;22/03/1961;0000;;;;11.5;;
82598;22/03/1961;1200;0;;23.5;;;
82598;23/03/1961;0000;;;;5.2;;
82598;23/03/1961;1200;0;;24.1;;;
82598;24/03/1961;0000;;;;10.5;;
82598;24/03/1961;1200;19;;23.6;;;
82598;25/03/1961;0000;;;;8.1;;
82598;25/03/1961;1200;1;;24.5;;;
82598;26/03/1961;0000;;;;0;;
82598;26/03/1961;1200;68.2;;22.6;;;
82598;27/03/1961;0000;;;;6.5;;
82598;27/03/1961;1200;59.2;;22.2;;;
82598;28/03/1961;0000;;;;0;;
82598;28/03/1961;1200;2;;22;;;
82598;29/03/1961;0000;;;;2.3;;
82598;29/03/1961;1200;69;;21.3;;;
82598;30/03/1961;0000;;;;3.9;;
82598;30/03/1961;1200;4;;23.4;;;
82598;31/03/1961;0000;;;;10.1;;
82598;31/03/1961;1200;9;;23.1;;;
82598;01/04/1961;0000;;;;9.3;;
82598;01/04/1961;1200;4.2;;23.1;;;
82598;02/04/1961;0000;;;;11.3;;
82598;02/04/1961;1200;0;;23.1;;;
82598;03/04/1961;0000;;;;11.2;;
